id_desa,prediksi,status_prediksi
1111010001,0,Tertinggal
1111010002,0,Tertinggal
1111010003,0,Tertinggal
1111010004,0,Tertinggal
1111010005,0,Tertinggal
1111010006,0,Tertinggal
1111010007,0,Tertinggal
1111010008,1,Maju
1111010009,0,Tertinggal
1111010010,0,Tertinggal
1111010011,0,Tertinggal
1111010012,0,Tertinggal
1111010013,0,Tertinggal
1111010014,0,Tertinggal
1111010015,0,Tertinggal
1111010016,0,Tertinggal
1111010017,0,Tertinggal
1111010018,1,Maju
1111010019,0,Tertinggal
1111010020,0,Tertinggal
1111010021,0,Tertinggal
1111010022,1,Maju
1111010023,1,Maju
1111010024,1,Maju
1111010025,0,Tertinggal
1111010026,0,Tertinggal
1111010027,0,Tertinggal
1111010028,0,Tertinggal
1111010029,1,Maju
1111010030,0,Tertinggal
1111010031,0,Tertinggal
1111010032,0,Tertinggal
1111010033,0,Tertinggal
1111010034,1,Maju
1111010035,0,Tertinggal
1111010036,0,Tertinggal
1111010037,0,Tertinggal
1111010038,0,Tertinggal
1111010039,0,Tertinggal
1111020007,0,Tertinggal
1111020008,0,Tertinggal
1111020009,0,Tertinggal
1111020010,0,Tertinggal
1111020011,0,Tertinggal
1111020012,0,Tertinggal
1111020013,0,Tertinggal
1111020014,1,Maju
1111020015,0,Tertinggal
1111020016,0,Tertinggal
1111020017,0,Tertinggal
1111020018,0,Tertinggal
1111020019,1,Maju
1111020022,0,Tertinggal
1111020023,1,Maju
1111020024,0,Tertinggal
1111020025,1,Maju
1111020026,0,Tertinggal
1111020027,0,Tertinggal
1111020028,0,Tertinggal
1111020029,0,Tertinggal
1111020030,0,Tertinggal
1111020031,0,Tertinggal
1111020032,1,Maju
1111020033,0,Tertinggal
1111020034,0,Tertinggal
1111020035,0,Tertinggal
1111020036,1,Maju
1111020037,0,Tertinggal
1111021001,0,Tertinggal
1111021002,1,Maju
1111021003,0,Tertinggal
1111021004,0,Tertinggal
1111021005,0,Tertinggal
1111021006,0,Tertinggal
1111022001,0,Tertinggal
1111022002,1,Maju
1111022003,1,Maju
1111022004,0,Tertinggal
1111022005,1,Maju
1111022006,1,Maju
1111022007,0,Tertinggal
1111022008,1,Maju
1111022009,0,Tertinggal
1111030001,0,Tertinggal
1111030012,0,Tertinggal
1111030013,1,Maju
1111030014,1,Maju
1111030015,0,Tertinggal
1111030016,1,Maju
1111030017,1,Maju
1111030018,0,Tertinggal
1111030019,1,Maju
1111030026,1,Maju
1111030027,1,Maju
1111030028,1,Maju
1111030029,1,Maju
1111030030,1,Maju
1111030031,1,Maju
1111030032,0,Tertinggal
1111030033,0,Tertinggal
1111030034,1,Maju
1111030035,0,Tertinggal
1111030036,0,Tertinggal
1111030037,0,Tertinggal
1111030038,0,Tertinggal
1111030039,0,Tertinggal
1111030040,0,Tertinggal
1111030041,0,Tertinggal
1111030042,0,Tertinggal
1111030043,0,Tertinggal
1111030044,0,Tertinggal
1111030045,1,Maju
1111030046,0,Tertinggal
1111030047,0,Tertinggal
1111030048,1,Maju
1111030049,0,Tertinggal
1111030050,0,Tertinggal
1111030051,0,Tertinggal
1111030052,0,Tertinggal
1111030053,0,Tertinggal
1111030054,0,Tertinggal
1111030055,0,Tertinggal
1111031001,0,Tertinggal
1111031002,0,Tertinggal
1111031003,0,Tertinggal
1111031004,0,Tertinggal
1111031005,0,Tertinggal
1111031006,0,Tertinggal
1111031007,0,Tertinggal
1111031008,0,Tertinggal
1111031009,1,Maju
1111031010,1,Maju
1111031011,0,Tertinggal
1111031012,1,Maju
1111031013,0,Tertinggal
1111031014,0,Tertinggal
1111031015,0,Tertinggal
1111031016,1,Maju
1111040010,0,Tertinggal
1111040012,0,Tertinggal
1111040013,1,Maju
1111040014,1,Maju
1111040015,1,Maju
1111040016,0,Tertinggal
1111040017,0,Tertinggal
1111040019,0,Tertinggal
1111040020,0,Tertinggal
1111040021,0,Tertinggal
1111040022,0,Tertinggal
1111040023,0,Tertinggal
1111040024,0,Tertinggal
1111040025,0,Tertinggal
1111040026,1,Maju
1111040027,1,Maju
1111040028,1,Maju
1111040029,1,Maju
1111040030,1,Maju
1111040031,1,Maju
1111040032,1,Maju
1111040033,1,Maju
1111040034,0,Tertinggal
1111040035,1,Maju
1111040036,1,Maju
1111040037,1,Maju
1111040038,1,Maju
1111040039,1,Maju
1111040040,1,Maju
1111040041,1,Maju
1111040042,1,Maju
1111040043,1,Maju
1111040044,1,Maju
1111040045,1,Maju
1111040046,1,Maju
1111040047,1,Maju
1111040048,1,Maju
1111040049,1,Maju
1111041001,1,Maju
1111041002,0,Tertinggal
1111041003,0,Tertinggal
1111041004,1,Maju
1111041005,0,Tertinggal
1111041006,0,Tertinggal
1111041007,0,Tertinggal
1111041008,0,Tertinggal
1111041009,0,Tertinggal
1111041010,0,Tertinggal
1111041011,1,Maju
1111050001,0,Tertinggal
1111050002,0,Tertinggal
1111050003,0,Tertinggal
1111050004,0,Tertinggal
1111050005,0,Tertinggal
1111050006,1,Maju
1111050007,0,Tertinggal
1111050008,0,Tertinggal
1111050009,0,Tertinggal
1111050010,0,Tertinggal
1111050011,1,Maju
1111050012,0,Tertinggal
1111050013,1,Maju
1111050014,1,Maju
1111050015,1,Maju
1111050016,1,Maju
1111050017,1,Maju
1111050018,1,Maju
1111050019,1,Maju
1111050020,0,Tertinggal
1111050021,1,Maju
1111050022,0,Tertinggal
1111050023,0,Tertinggal
1111050024,1,Maju
1111050025,1,Maju
1111050026,1,Maju
1111050027,1,Maju
1111050028,1,Maju
1111050029,0,Tertinggal
1111050030,0,Tertinggal
1111050031,0,Tertinggal
1111050032,0,Tertinggal
1111050033,0,Tertinggal
1111050034,0,Tertinggal
1111050035,0,Tertinggal
1111050036,1,Maju
1111050037,1,Maju
1111050038,1,Maju
1111050039,1,Maju
1111050040,0,Tertinggal
1111050041,0,Tertinggal
1111050042,1,Maju
1111050043,1,Maju
1111050044,1,Maju
1111050045,0,Tertinggal
1111050046,0,Tertinggal
1111050047,1,Maju
1111050048,0,Tertinggal
1111050049,0,Tertinggal
1111050050,0,Tertinggal
1111060038,0,Tertinggal
1111060039,0,Tertinggal
1111060047,0,Tertinggal
1111060048,0,Tertinggal
1111060049,0,Tertinggal
1111060057,1,Maju
1111060058,0,Tertinggal
1111060059,1,Maju
1111060060,0,Tertinggal
1111060066,1,Maju
1111060067,1,Maju
1111060068,0,Tertinggal
1111060069,1,Maju
1111060071,0,Tertinggal
1111060072,0,Tertinggal
1111060073,1,Maju
1111060074,0,Tertinggal
1111060075,1,Maju
1111060076,1,Maju
1111060077,0,Tertinggal
1111060078,0,Tertinggal
1111060079,0,Tertinggal
1111060085,0,Tertinggal
1111060086,0,Tertinggal
1111060087,0,Tertinggal
1111060088,1,Maju
1111060089,1,Maju
1111060090,0,Tertinggal
1111060091,1,Maju
1111060092,1,Maju
1111060093,0,Tertinggal
1111060094,1,Maju
1111060095,1,Maju
1111060096,1,Maju
1111060097,1,Maju
1111060098,1,Maju
1111060099,0,Tertinggal
1111060100,0,Tertinggal
1111060101,0,Tertinggal
1111060102,0,Tertinggal
1111060103,0,Tertinggal
1111060104,1,Maju
1111060105,0,Tertinggal
1111060106,0,Tertinggal
1111060107,1,Maju
1111060108,0,Tertinggal
1111060109,1,Maju
1111060110,0,Tertinggal
1111060111,0,Tertinggal
1111061001,0,Tertinggal
1111061002,0,Tertinggal
1111061003,0,Tertinggal
1111061004,0,Tertinggal
1111061005,0,Tertinggal
1111061006,0,Tertinggal
1111061007,0,Tertinggal
1111061008,0,Tertinggal
1111061009,0,Tertinggal
1111061010,1,Maju
1111061011,0,Tertinggal
1111061012,1,Maju
1111061013,0,Tertinggal
1111061014,0,Tertinggal
1111061015,0,Tertinggal
1111061016,0,Tertinggal
1111061017,0,Tertinggal
1111061018,0,Tertinggal
1111061019,0,Tertinggal
1111061020,0,Tertinggal
1111061021,0,Tertinggal
1111061022,0,Tertinggal
1111061023,0,Tertinggal
1111061024,0,Tertinggal
1111061025,0,Tertinggal
1111061026,1,Maju
1111061027,0,Tertinggal
1111061028,1,Maju
1111061029,0,Tertinggal
1111061030,1,Maju
1111061031,0,Tertinggal
1111061032,0,Tertinggal
1111061033,0,Tertinggal
1111061034,1,Maju
1111061035,0,Tertinggal
1111061036,0,Tertinggal
1111061037,1,Maju
1111061038,1,Maju
1111061039,1,Maju
1111062001,0,Tertinggal
1111062002,0,Tertinggal
1111062003,0,Tertinggal
1111062004,0,Tertinggal
1111062005,0,Tertinggal
1111062006,0,Tertinggal
1111062007,0,Tertinggal
1111062008,0,Tertinggal
1111062009,0,Tertinggal
1111062010,0,Tertinggal
1111062011,0,Tertinggal
1111062012,0,Tertinggal
1111062013,1,Maju
1111062014,0,Tertinggal
1111062015,0,Tertinggal
1111062016,0,Tertinggal
1111062017,0,Tertinggal
1111062018,0,Tertinggal
1111062019,1,Maju
1111062020,0,Tertinggal
1111062021,0,Tertinggal
1111062022,0,Tertinggal
1111062023,0,Tertinggal
1111070001,1,Maju
1111070002,1,Maju
1111070003,0,Tertinggal
1111070004,0,Tertinggal
1111070005,0,Tertinggal
1111070006,1,Maju
1111070007,0,Tertinggal
1111070008,1,Maju
1111070009,0,Tertinggal
1111070010,0,Tertinggal
1111070011,0,Tertinggal
1111070012,0,Tertinggal
1111070013,0,Tertinggal
1111070014,0,Tertinggal
1111070015,0,Tertinggal
1111070016,0,Tertinggal
1111070017,0,Tertinggal
1111070018,1,Maju
1111070019,0,Tertinggal
1111070020,0,Tertinggal
1111070021,0,Tertinggal
1111070022,0,Tertinggal
1111070023,0,Tertinggal
1111070024,0,Tertinggal
1111080024,0,Tertinggal
1111080025,1,Maju
1111080026,0,Tertinggal
1111080027,0,Tertinggal
1111080028,0,Tertinggal
1111080029,0,Tertinggal
1111080030,0,Tertinggal
1111080031,0,Tertinggal
1111080032,0,Tertinggal
1111080033,0,Tertinggal
1111080034,0,Tertinggal
1111080035,0,Tertinggal
1111080036,0,Tertinggal
1111080037,1,Maju
1111080038,1,Maju
1111080039,0,Tertinggal
1111080040,0,Tertinggal
1111080041,0,Tertinggal
1111080042,0,Tertinggal
1111080043,1,Maju
1111080044,0,Tertinggal
1111080045,0,Tertinggal
1111080046,0,Tertinggal
1111080047,0,Tertinggal
1111080048,0,Tertinggal
1111080049,1,Maju
1111080050,0,Tertinggal
1111080051,0,Tertinggal
1111080052,0,Tertinggal
1111080053,0,Tertinggal
1111080054,1,Maju
1111080055,1,Maju
1111080056,0,Tertinggal
1111080057,1,Maju
1111080058,0,Tertinggal
1111080059,0,Tertinggal
1111080060,0,Tertinggal
1111080061,0,Tertinggal
1111080062,0,Tertinggal
1111080063,0,Tertinggal
1111080064,0,Tertinggal
1111080065,0,Tertinggal
1111080066,0,Tertinggal
1111080067,0,Tertinggal
1111080068,0,Tertinggal
1111080069,1,Maju
1111080070,0,Tertinggal
1111081001,0,Tertinggal
1111081002,0,Tertinggal
1111081003,0,Tertinggal
1111081004,0,Tertinggal
1111081005,0,Tertinggal
1111081006,0,Tertinggal
1111081007,0,Tertinggal
1111081008,0,Tertinggal
1111081009,0,Tertinggal
1111081010,0,Tertinggal
1111081011,0,Tertinggal
1111081012,0,Tertinggal
1111081013,0,Tertinggal
1111081014,0,Tertinggal
1111081015,0,Tertinggal
1111081016,0,Tertinggal
1111081017,0,Tertinggal
1111081018,1,Maju
